18,"HD 820
",18.png,8,SENNHEISER,1,75000,20,5,5,null,能夠以Hi–Fi級的質量欣賞音樂節目。配置了獨特的玻璃材質換能器外殼，以實現小共振,2020/5/4 23:14,2020/5/4 23:14
19,"HD 206
",19.png,8,SENNHEISER,1,2000,100,60,5,null, 是一款封閉動圈式立體聲耳機，適合預算有限的音樂愛好者，具有聲音重放有力、環境噪聲衰減性能出色、佩戴舒適等特點。,2020/5/4 23:14,2020/5/4 23:14
20,HD4.50BTNC,20.png,8,SENNHEISER,2,5300,100,30,5,null,Sennheiser的NoiseGard主動降噪，夠保證你在任何環境中安靜也能夠聆聽和欣賞自己的音樂。,2020/5/4 23:14,2020/5/4 23:14
21,"HD 4.40BT
",21.png,8,SENNHEISER,2,3200,100,50,5,null,這款後腔封閉式包耳設計的無線耳機採用了藍牙4.0技術和aptX兼容技術，能夠傳輸真正的高保真聲音信號,2020/5/4 23:14,2020/5/4 23:14
22,HD 598 Cs,22.png,8,SENNHEISER,1,5500,80,20,5,null,Sennheiser HD 5系列在各個方面都提供高質量和價值。採用Sennheiser專屬換能器技術,2020/5/4 23:14,2020/5/4 23:14
23,HD200PRO,23.png,8,SENNHEISER,1,4000,200,50,5,null, HD 200 PRO 能夠為每一種監聽需求和資金預算需求提供細膩強勁的聲音監聽,2020/5/4 23:14,2020/5/4 23:14
24,PXC480,24.png,8,SENNHEISER,1,7300,100,20,5,null,具有完美設計的這款旅行系列頭戴耳麥凝聚了Sennheiser在聲音和音頻技術上的品質體現,2020/5/4 23:14,2020/5/4 23:14
25,HD 559,25.png,8,SENNHEISER,1,6100,50,10,5,null,插入具有開放包耳式設計以及高級Sennheiser換能器系統的HD 559，它將為你帶來卓越的聲音體驗,2020/5/4 23:14,2020/5/4 23:14
26,HD 569,26.png,8,SENNHEISER,1,7300,100,20,5,null,採用封閉包耳式設計的HD 569為家庭娛樂領域帶來靈活選項。它提供了一個細節豐富而清晰的低音，,2020/5/4 23:14,2020/5/4 23:14
27,HD 579,27.png,9,SENNHEISER,1,6000,50,10,5,null,HD 579提供高端性能，為家庭娛樂帶來近乎高保真的聲音水平,2020/5/4 23:14,2020/5/4 23:14
28,HD 599,28.png,3,SENNHEISER,1,6500,50,5,5,null,當代設計既富有吸引力，也符合人體工學。對於那些帶著發現探索精神去聽音樂的人來說,2020/5/4 23:14,2020/5/4 23:14
29,HD 4.30,29.png,9,SENNHEISER,1,2900,60,10,5,null,堅固的折疊設計讓這款耳機堅固緊湊，能夠隨身攜帶,2020/5/4 23:14,2020/5/4 23:14
30,HD 800 S,30.png,8,SENNHEISER,1,61000,20,5,5,null,HD 800 作為一代經典，它不但提供自然的聲音和真實的細節,2020/5/4 23:14,2020/5/4 23:14
31,ATH-PDG1a,ATH-PDG1a_.jpg,1,audio-technica,1,5000,137,123,3,null,遊戲專用耳機麥克風組 體驗廣闊空間感的開放音色 令人置身於遊戲世界中的開放式電競用耳機,2020/5/4 23:14,2020/5/4 23:14
32,ATH-G1,ATH-G1_b.jpg,8,audio-technica,1,6000,56,395,3,null,遊戲專用耳機麥克風組 承繼針對專業取向的耳機與麥克風的設計概念 出乎想像的深入遊戲體驗,2020/5/5 23:14,2020/5/5 23:14
33,ATH-G1WL,ATH-G1WL.jpg,8,audio-technica,2,9900,98,279,3,null,遊戲專用無線耳機麥克風組 承繼針對專業取向的耳機與麥克風的設計概念 出乎想像的深入遊戲體驗,2020/5/6 23:14,2020/5/6 23:14
34,ATH-AWKT,ATH-AWKT.jpg,8,audio-technica,1,54700,137,395,3,null,沉浸於黑檀演奏的優雅樂音 傳統的木製機殼耳機,2020/5/7 23:14,2020/5/7 23:14
35,ATH-AWAS,ATH-AWAS.jpg,1,audio-technica,1,38900,56,123,3,null,墜入淺田櫻的自然聲響之中 革新的木製機殼耳機,2020/5/8 23:14,2020/5/8 23:14
36,ATH-L5000,ATH-L5000_img01_550.jpg,3,audio-technica,1,138500,98,279,3,null,聲音與皮革， 匠人極致工藝的傳奇聯名再次降臨。,2020/5/9 23:14,2020/5/9 23:14
37,ATH-W5000,ATH-W5000_550.jpg,8,audio-technica,1,39800,137,123,3,null,機殼採用音響特性非常優越的天然條紋黑檀木材,2020/5/10 23:14,2020/5/10 23:14
38,ATH-A2000Z,ATH-A2000Z.jpg,7,audio-technica,1,27500,56,395,3,null,密閉式動圈型耳機 創造純淨至高音樂空間的一時之選,2020/5/11 23:14,2020/5/11 23:14
39,ATH-A1000Z,ATH-A1000Z.jpg,1,audio-technica,1,17500,98,279,3,null,密閉式動圈型耳機 前往未知的感動 精緻的聲音與重現力,2020/5/12 23:14,2020/5/12 23:14
40,ATH-A900Z,ATH-A900Z.jpg,5,audio-technica,1,8750,137,395,3,null,密閉式動圈型耳機 細微之處也毫無遺漏 呈現聲音的全貌,2020/5/13 23:14,2020/5/13 23:14
41,ATH-A500Z,ATH-A500Z.jpg,8,audio-technica,1,4750,56,123,3,null,密閉式動圈型耳機 纖細而豐富 傳統的監聽聲響,2020/5/14 23:14,2020/5/14 23:14
42,ATH-ANC500BT,ATH-ANC500BT_BK_03.jpg,8,audio-technica,2,4000,98,279,3,null,無線抗噪耳機 獨創主動式抗噪技術與藍牙無線技術，能有效隔絕環境噪音。,2020/5/15 23:14,2020/5/15 23:14
43,ATH-WS330BT,ATH-WS330BT_BK.jpg,8,audio-technica,2,4200,137,123,3,null,輕薄機身與厚實的低音 每天都想聆聽的 無線×耳罩式耳機,2020/5/16 23:14,2020/5/16 23:14
44,ATH-AP2000Ti,ATH-AP2000Ti_550.jpg,8,audio-technica,1,46000,56,395,3,null,連寂靜之處亦描繪於耳畔， 高精細度原音重現。,2020/5/17 23:14,2020/5/17 23:14
45,ATH-SR50,ATH-SR50_550.jpg,8,audio-technica,1,6100,98,279,3,null,讓你隨時隨處 體驗高解析音質的絕佳聽感,2020/5/18 23:14,2020/5/18 23:14
46,ATH-MSR7SE,ATH-MSR7SE_550.jpg,5,audio-technica,1,9980,137,395,3,null,承襲 MSR7 優異聲音表現，加以強化的限定版機種,2020/5/19 23:14,2020/5/19 23:14
47,ATH-MSR7,ATH-MSR7_BK.jpg,8,audio-technica,2,10000,56,123,3,null,集結獨創的音響技術 鉅細靡遺傳遞真實音色的高解析度,2020/5/20 23:14,2020/5/20 23:14
48,ATH-SR9,SR9_2_1.jpg,7,audio-technica,1,20000,98,279,3,null,繼往開來的獨家音響設計，實現純正的高解析音質播放,2020/5/21 23:14,2020/5/21 23:14
49,ATH-AR5_BK,AR5_BK.jpg,8,audio-technica,1,5600,137,123,3,null,高解析音質播放，忠實重現原音,2020/5/22 23:14,2020/5/22 23:14
50,ATH-AR5_RD,AR5_RD.jpg,1,audio-technica,1,5600,56,395,3,null,高解析音質播放，忠實重現原音,2020/5/23 23:14,2020/5/23 23:14
51,ATH-AR3_RD,ATH-AR3_RD_1.jpg,1,audio-technica,1,2400,98,279,3,null,播放鮮明聲響的高音質表現,2020/5/24 23:14,2020/5/24 23:14
52,ATH-AR3_BL,ATH-AR3_BL_1.jpg,5,audio-technica,1,2400,137,395,3,null,播放鮮明聲響的高音質表現,2020/5/25 23:14,2020/5/25 23:14
53,ATH-AR3_BK,ATH-AR3_BK_1.jpg,8,audio-technica,1,2400,56,123,3,null,播放鮮明聲響的高音質表現,2020/5/26 23:14,2020/5/26 23:14
54,ATH-AR3_WH,ATH-AR3_WH_1.jpg,9,audio-technica,1,2400,98,279,3,null,播放鮮明聲響的高音質表現,2020/5/27 23:14,2020/5/27 23:14
55,ATH-AR1_RD,AR1_RD_1_1.jpg,1,audio-technica,1,1600,137,123,3,null,輕量&小型化仍具備強而有力音效,2020/5/28 23:14,2020/5/28 23:14
56,ATH-AR1_BL,AR1_BL_1_1.jpg,5,audio-technica,1,1600,56,395,3,null,輕量&小型化仍具備強而有力音效,2020/5/29 23:14,2020/5/29 23:14
57,ATH-AR1_BK,AR1_BK_1_1.jpg,8,audio-technica,1,1600,98,279,3,null,輕量&小型化仍具備強而有力音效,2020/5/30 23:14,2020/5/30 23:14
58,ATH-AR1_WH,AR1_WH_1_1.jpg,9,audio-technica,1,1600,137,395,3,null,輕量&小型化仍具備強而有力音效,2020/5/31 23:14,2020/5/31 23:14
59,ATH-S100iS_BBL,ATH-S100iS_BBL_550.jpg,5,audio-technica,1,1200,56,123,3,null,最適合上街使用的單邊出線風格 可體驗通話與操作樂趣的智慧型手機支援機種,2020/6/1 23:14,2020/6/1 23:14
60,ATH-S100iS_BGR,ATH-S100iS_BGR_550.jpg,3,audio-technica,1,1200,98,279,3,null,最適合上街使用的單邊出線風格 可體驗通話與操作樂趣的智慧型手機支援機種,2020/6/2 23:14,2020/6/2 23:14
